fsq_id,categories,closed_bucket,distance,location,name,latitude,longitude
4bc259ea4cdfc9b6bf099621,Fish and Chips Shop,VeryLikelyOpen,297,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",Kristapsons Inc,43.668614,-79.317268
4bb75e0f6edc76b03212321c,Indian Restaurant,VeryLikelyOpen,923,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Serano Bakery,43.67205,-79.322451
4cac0be72776b60cee814e0d,Bar,LikelyOpen,49,"1471 Gerrard St E, Toronto ON M4L 2A1",Golden Pizza,43.672346,-79.320804
4f405fb2e4b0d395c745494e,Burger Joint,LikelyOpen,583,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",The Greek Grill,43.666763,-79.315564
4bc9b8950687ef3bbc53dacc,Diner,VeryLikelyOpen,498,"1483 Queen St E, Toronto ON M4L 1E2",Danish Pastry Shop,43.665121,-79.321347
544bee8b498ece3f8ce209fe,Egyptian Restaurant,VeryLikelyOpen,802,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Goat Coffee Co,43.671682,-79.328462
4bd22db89854d13a7129fb4d,Café,LikelyOpen,443,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Subway,43.66388,-79.326107
53d2e5e4498e4febaf28f2b8,Pizzeria,VeryLikelyOpen,886,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Tzatziki,43.666623,-79.316861
4d72d530ec075481ab7c8fbf,Ice Cream Parlor,LikelyOpen,790,"1698 Queen St W, Scarborough ON M6R 1B3",Number One Chinese Restaurant,43.667418,-79.312824
613d19c394f23c26fa5a1e74,Bistro,VeryLikelyOpen,456,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Burger King,43.671324,-79.32719
59836266e1f0aa182cf031ec,Fish and Chips Shop,Unsure,403,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",241 Pizza,43.668614,-79.317268
5615b6c4498e3c32c67ad78f,Indian Restaurant,VeryLikelyOpen,130,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Blaze Pizza,43.67205,-79.322451
509e9ef6e4b0ab175389a6c5,Bar,VeryLikelyOpen,91,"1471 Gerrard St E, Toronto ON M4L 2A1",Hokkaido Ramen Santouka,43.672346,-79.320804
51755dc7498ece19b7261641,Burger Joint,LikelyOpen,382,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",Banh Mi Boys,43.666763,-79.315564
5a81ae339deb7d369fa7f146,Diner,VeryLikelyOpen,467,"1483 Queen St E, Toronto ON M4L 1E2",Hailed Coffee,43.665121,-79.321347
4b2bd898f964a52042bc24e3,Egyptian Restaurant,VeryLikelyOpen,408,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Kinka Izakaya,43.671682,-79.328462
5064c3dde4b07c5a18986283,Café,VeryLikelyOpen,190,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Five Guys Burgers & Fries,43.66388,-79.326107
4ab2b0b9f964a520e56b20e3,Pizzeria,VeryLikelyOpen,408,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",The Queen and Beaver Public House,43.666623,-79.316861
4ad4c061f964a52095f720e3,Ice Cream Parlor,VeryLikelyOpen,261,"1698 Queen St W, Scarborough ON M6R 1B3",Salad King,43.667418,-79.312824
4adc9148f964a520512d21e3,Bistro,VeryLikelyOpen,194,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Chipotle Mexican Grill,43.671324,-79.32719
